"Self-Healing <span class=""search-hit mathjax"">Secure</span> Blockchain Framework in Microgrids",https://arxiv.org/pdf/2209.07138
"Co-Design of Watermarking and Robust Control for <span class=""search-hit mathjax"">Security</span> in <span class=""search-hit mathjax"">Cyber</span>-Physical Systems",https://arxiv.org/pdf/2209.06267
Intrusion Detection Systems Using Support Vector Machines on the KDDCUP'99 and NSL-KDD Datasets: A Comprehensive Survey,https://arxiv.org/pdf/2209.05579
"Revisiting QUAD ambition in the Indo Pacific leveraging Space and <span class=""search-hit mathjax"">Cyber</span> Domain",https://arxiv.org/pdf/2209.04609
"On Specification-based <span class=""search-hit mathjax"">Cyber</span>-Attack Detection in Smart Grids",https://arxiv.org/pdf/2209.04354
Survey on Deep Fuzzy Systems in regression applications: a view on interpretability,https://arxiv.org/pdf/2209.04230
"Evaluating the <span class=""search-hit mathjax"">Security</span> of Aircraft Systems",https://arxiv.org/pdf/2209.04028
MalDetConv: Automated Behaviour-based Malware Detection Framework Based on Natural Language Processing and Deep Learning Techniques,https://arxiv.org/pdf/2209.03547
Measurement of the Usage of Web Clips in Underground Economy,https://arxiv.org/pdf/2209.03319
Explainable Artificial Intelligence to Detect Image Spam Using Convolutional Neural Network,https://arxiv.org/pdf/2209.03166
Hyperloop: A Cybersecurity Perspective,https://arxiv.org/pdf/2209.03095
"State of <span class=""search-hit mathjax"">Security</span> Awareness in the AM Industry: 2020 Survey",https://arxiv.org/pdf/2209.03073
"Building up <span class=""search-hit mathjax"">Cyber</span> Resilience by Better Grasping <span class=""search-hit mathjax"">Cyber</span> Risk Via a New Algorithm for Modelling Heavy-Tailed Data",https://arxiv.org/pdf/2209.02845
Localizing Load-Altering Attacks Against Power Grids Using Deep Capsule Nets,https://arxiv.org/pdf/2209.02809
"Orchestrating Collaborative Cybersecurity: A <span class=""search-hit mathjax"">Secure</span> Framework for Distributed Privacy-Preserving Threat Intelligence Sharing",https://arxiv.org/pdf/2209.02676
Model-Free Deep Reinforcement Learning in Software-Defined Networks,https://arxiv.org/pdf/2209.01490
Tweaking Metasploit to Evade Encrypted C2 Traffic Detection,https://arxiv.org/pdf/2209.00943
BinImg2Vec: Augmenting Malware Binary Image Classification with Data2Vec,https://arxiv.org/pdf/2209.00782
"Detection of False Data Injection Attacks in Smart Grid: A <span class=""search-hit mathjax"">Secure</span> Federated Deep Learning Approach",https://arxiv.org/pdf/2209.00778
"CPS Attack Detection under Limited Local Information in <span class=""search-hit mathjax"">Cyber</span> <span class=""search-hit mathjax"">Security</span>: A Multi-node Multi-class Classification Ensemble Approach",https://arxiv.org/pdf/2209.00170
"Explainable Artificial Intelligence Applications in <span class=""search-hit mathjax"">Cyber</span> <span class=""search-hit mathjax"">Security</span>: State-of-the-Art in Research",https://arxiv.org/pdf/2208.14937
Survey on Architectural Attacks: A Unified Classification and Attack Model,https://arxiv.org/pdf/2208.14194
Lateral Movement Detection Using User Behavioral Analysis,https://arxiv.org/pdf/2208.13524
IoT Droplocks: Wireless Fingerprint Theft Using Hacked Smart Locks,https://arxiv.org/pdf/2208.13343
Virtual Control Group: Measuring Hidden Performance Metrics,https://arxiv.org/pdf/2208.12941
