Evolving Zero Cost Proxies For Neural Architecture Scoring,https://arxiv.org/pdf/2209.07413
"Borch: A <span class=""search-hit mathjax"">Deep</span> Universal Probabilistic <span class=""search-hit mathjax"">Programming</span> Language",https://arxiv.org/pdf/2209.06168
Smart Contract Vulnerability Detection Technique: A Survey,https://arxiv.org/pdf/2209.05872
"MalDetConv: Automated Behaviour-based Malware Detection Framework Based on Natural Language Processing and <span class=""search-hit mathjax"">Deep</span> <span class=""search-hit mathjax"">Learning</span> Techniques",https://arxiv.org/pdf/2209.03547
"Magnitude-image based data-consistent <span class=""search-hit mathjax"">deep</span> <span class=""search-hit mathjax"">learning</span> method for MRI super resolution",https://arxiv.org/pdf/2209.02901
"Towards Top-Down <span class=""search-hit mathjax"">Deep</span> Code Generation in Limited Scopes",https://arxiv.org/pdf/2209.01566
JAXFit: Trust Region Method for Nonlinear Least-Squares Curve Fitting on the GPU,https://arxiv.org/pdf/2208.12187
TEP-GNN: Accurate Execution Time Prediction of Functional Tests using Graph Neural Networks,https://arxiv.org/pdf/2208.11947
Revisiting Code Search in a Two-Stage Paradigm,https://arxiv.org/pdf/2208.11274
Lexicase Selection at Scale,https://arxiv.org/pdf/2208.10719
Towards an AI-based Early Warning System for Bridge Scour,https://arxiv.org/pdf/2208.10500
Neuro-Symbolic Visual Dialog,https://arxiv.org/pdf/2208.10353
"Survey of NLP in Pharmacology: Methodology, Tasks, Resources, Knowledge, and Tools",https://arxiv.org/pdf/2208.10228
"Cross-Domain Evaluation of a <span class=""search-hit mathjax"">Deep</span> <span class=""search-hit mathjax"">Learning</span>-Based Type Inference System",https://arxiv.org/pdf/2208.09189
"Discovering Faint and High Apparent Motion Rate Near-Earth Asteroids Using A <span class=""search-hit mathjax"">Deep</span> <span class=""search-hit mathjax"">Learning</span> <span class=""search-hit mathjax"">Program</span>",https://arxiv.org/pdf/2208.09098
"A Tree-structured Transformer for <span class=""search-hit mathjax"">Program</span> Representation <span class=""search-hit mathjax"">Learning</span>",https://arxiv.org/pdf/2208.08643
Physical Computing for Materials Acceleration Platforms,https://arxiv.org/pdf/2208.08566
CCTEST: Testing and Repairing Code Completion Systems,https://arxiv.org/pdf/2208.08289
"AutoCAT: Reinforcement <span class=""search-hit mathjax"">Learning</span> for Automated Exploration of Cache Timing-Channel Attacks",https://arxiv.org/pdf/2208.08025
Self-Supervised Vision Transformers for Malware Detection,https://arxiv.org/pdf/2208.07049
"RLang: A Declarative Language for Expression Prior Knowledge for Reinforcement <span class=""search-hit mathjax"">Learning</span>",https://arxiv.org/pdf/2208.06448
General Cutting Planes for Bound-Propagation-Based Neural Network Verification,https://arxiv.org/pdf/2208.05740
FERIA: Flat Envelope Model with Rotation and Infall under Angular Momentum Conservation,https://arxiv.org/pdf/2208.04581
"Neural Set Function Extensions: <span class=""search-hit mathjax"">Learning</span> with Discrete Functions in High Dimensions",https://arxiv.org/pdf/2208.04055
Going Beyond Approximation: Encoding Constraints for Explainable Multi-hop Inference via Differentiable Combinatorial Solvers,https://arxiv.org/pdf/2208.03339
On-the-Fly Syntax Highlighting using Neural Networks,https://arxiv.org/pdf/2208.02815
"<span class=""search-hit mathjax"">Deep</span> VULMAN: A <span class=""search-hit mathjax"">Deep</span> Reinforcement <span class=""search-hit mathjax"">Learning</span>-Enabled Cyber Vulnerability Management Framework",https://arxiv.org/pdf/2208.02369
On CAD Informed Adaptive Robotic Assembly,https://arxiv.org/pdf/2208.01773
"Performance Comparison of <span class=""search-hit mathjax"">Deep</span> RL Algorithms for Energy Systems Optimal Scheduling",https://arxiv.org/pdf/2208.00728
A Real-time Edge-AI System for Reef Surveys,https://arxiv.org/pdf/2208.00598
"The quasar luminosity function at $z\sim5$ via <span class=""search-hit mathjax"">deep</span> <span class=""search-hit mathjax"">learning</span> and Bayesian information criterion",https://arxiv.org/pdf/2208.00570
